source_type,product_id,product_name,estado_producto,es_estacional,meses_estacionales,ultima_actividad,stock_actual,stock_minimo,stock_maximo,lead_time_dias,lote_minimo_produccion,observacion
PP,PP_6b42df6cac,* ACHIOTE PASTA GRANEL (FUNDAS),activo,True,"julio, septiembre, abril",2026-01-01,,,,,,
PP,PP_d4b7f2cd70,* ACHIOTE PASTA GRANEL (VASOS),activo,True,"septiembre, julio, enero",2026-02-01,,,,,,
PP,PP_547654020c,* ACHIOTE REFRITO GRANEL,activo,True,"octubre, noviembre, septiembre",2026-01-01,,,,,,
PP,PP_e146dc2ddc,* ALINO AHUMADO FINAS HIERBAS K,activo,True,"octubre, enero, julio",2026-01-01,,,,,,
PP,PP_021ba1ac93,* ALINO COMPLETO KILOS GRANEL,activo,True,"octubre, noviembre, febrero",2026-02-01,,,,,,
PP,PP_55a4c4660b,* CHIMICHURRI ADEREZO NATURAL G,activo,False,"febrero, enero, diciembre",2026-02-01,,,,,,
PP,PP_97d46a4774,* CHIMICHURRI ADEREZO PICANTE G,activo,False,"enero, octubre, noviembre",2026-02-01,,,,,,
PP,PP_dab4a07a56,* CHIMICHURRI DESHIDRATADO GRAN,activo,False,"septiembre, noviembre, julio",2025-12-01,,,,,,
PP,PP_b55f2acb6f,* CHIMICHURRI KILOS GRANEL,activo,True,"noviembre, febrero, abril",2026-02-01,,,,,,
PP,PP_55fd22a24e,* CREMA DE CHAMPINONES GRANEL,activo,False,"noviembre, julio, diciembre",2026-01-01,,,,,,
PP,PP_3d3721a49f,* CREMA DE CHOCLO GRANEL,activo,True,"noviembre, diciembre, julio",2026-01-01,,,,,,
PP,PP_c3030e860c,* LOCRO DE PAPAS GRANEL,activo,True,"noviembre, enero, agosto",2026-01-01,,,,,,
PP,PP_39797a38f9,* MOSTAZA Y MIEL GRANEL,activo,False,"octubre, julio, enero",2026-02-01,,,,,,
PP,PP_58a20ebc41,* REFRITO CRIOLLO GRANEL,activo,True,"noviembre, diciembre, marzo",2025-12-01,,,,,,
PP,PP_d134ac1ae4,* SAL AHUMADA KILOS GRANEL,activo,True,"enero, julio, noviembre",2026-02-01,,,,,,
PP,PP_8a94ee9200,* SAZON COMPLETA KILOS GRANEL,activo,True,"octubre, febrero, diciembre",2026-02-01,,,,,,
PP,PP_5ece8e0ca3,* SAZON MEXICANA GRANEL,activo,True,"mayo, julio, enero",2026-02-01,,,,,,
PP,PP_3c0207c0b4,* SAZONA PAVO PASTA GRANEL,activo,True,"octubre, noviembre, septiembre",2025-11-01,,,,,,
PP,PP_e6b669353b,* SAZONADOR A LAS FINAS HIERBAS,activo,False,"enero, octubre, julio",2026-02-01,,,,,,
PP,PP_96e7d18738,* SAZONADOR CARNES ROJAS  KL GR,activo,False,"octubre, febrero, agosto",2026-02-01,,,,,,
PP,PP_4797f684b9,* SAZONADOR CARNES ROJAS LIBRAS,inactivo,True,"octubre, julio, enero",2025-01-01,,,,,,
PP,PP_ac01a30a78,* SAZONADOR CERDO  LIBRAS GRANE,activo,True,"febrero, octubre, julio",2026-02-01,,,,,,
PP,PP_29653ea1bd,* SAZONADOR PESCADO LIBRAS GRAN,activo,True,"enero, julio, octubre",2026-01-01,,,,,,
PP,PP_7bb35d7659,* SAZONADOR POLLO LIBRAS GRANEL,activo,False,"septiembre, diciembre, octubre",2026-01-01,,,,,,
PP,PP_1832a1fd36,* SIROPE CHOCOLATE KILOS GRANEL,activo,False,"febrero, marzo, noviembre",2026-02-01,,,,,,
PP,PP_cfbc5ab2ba,* SIROPE DE MORA KILOS GRANEL,activo,False,"febrero, octubre, agosto",2026-01-01,,,,,,
PP,PP_659d094f0e,* SOPA DE POLLO CON ARRO GRANEL,activo,False,"diciembre, septiembre, octubre",2026-02-01,,,,,,
PP,PP_3231aa9088,* SOPA DE POLLO CON FIDE GRANEL,activo,False,"julio, septiembre, octubre",2025-07-01,,,,,,
PP,PP_11e8c554ea,* SOPA DE POLLO CON FIDEOGRANEL,activo,True,"septiembre, febrero, noviembre",2026-02-01,,,,,,
PP,PP_60f361ef74,*ALPISTE SELECCIONADO,inactivo,False,"julio, agosto, octubre",2024-10-01,,,,,,
PP,PP_048061024e,*CALDO DE GALLINA GRANEL,activo,True,"noviembre, julio, enero",2026-02-01,,,,,,
PP,PP_a8fe971c63,*CALDO DE GALLINA GRANEL AL ART,activo,False,"julio, octubre, febrero",2026-02-01,,,,,,
