source_type,product_id,product_name,periodo,cantidad_predicha,prediccion_min,prediccion_max,confianza_prediccion,requiere_revision,recomendacion_decision,estado_producto,es_estacional,meses_estacionales,error_absoluto_total,wape_producto,prioridad_revision,criterio_experto,cantidad_ajustada_experto,motivo_ajuste,responsable_revision
PP,PP_6bfc0c1cda,ENG ACHIOTE PASTA DP X 30(0.10),2026-03-01,183776.97,176517.29,191036.65,alta,True,revisar antes de ordenar,activo,False,"agosto, octubre, noviembre",19240.945919356323,0.0395026400578063,alta,,,,
PP,PP_021ba1ac93,* ALINO COMPLETO KILOS GRANEL,2026-03-01,170040.66,168096.73,171984.59,alta,True,revisar antes de ordenar,activo,True,"octubre, noviembre, febrero",3670.043131129176,0.0114321589740744,alta,,,,
PP,PP_78aa27e970,ENG EL ARTESANCALDO DE GALLINA,2026-03-01,169091.32,156802.6,181380.04,alta,True,revisar antes de ordenar,activo,False,"febrero, enero, diciembre",22007.608908522336,0.0726750662386561,alta,,,,
PP,PP_17210e6841,ENG CANELA RAMA DISP X 15 (0.20,2026-03-01,166003.39,159232.18,172774.6,alta,True,revisar antes de ordenar,activo,False,"julio, febrero, septiembre",10693.398581378671,0.0407895887297019,alta,,,,
PP,PP_c97860f013,CEBOLLA PAITEÑA PELADA,2026-03-01,149044.5,131905.77,166183.23,alta,True,revisar antes de ordenar,activo,True,"octubre, noviembre, febrero",22086.025608369346,0.1149906575190523,alta,,,,
PP,PP_90550a5030,ACEITE PALMA _SOYA 70/30 LITROS,2026-03-01,120282.04,115357.07,125207.01,alta,True,revisar antes de ordenar,activo,True,"noviembre, julio, febrero",8388.446900732248,0.0409452184347744,alta,,,,
PP,PP_2ddb9c40c9,ENG BICARBONATO X 30 (0.15),2026-03-01,116394.01,112748.89,120039.13,alta,True,revisar antes de ordenar,activo,False,"enero, octubre, julio",7453.457210991124,0.0313170471050047,alta,,,,
PP,PP_38d76f4f62,ENG ALIÑO DP X 30 (0.10),2026-03-01,109667.48,96466.73,122868.23,alta,True,revisar antes de ordenar,activo,False,"enero, septiembre, agosto",26214.32600469359,0.1203706768513802,alta,,,,
PP,PP_8a94ee9200,* SAZON COMPLETA KILOS GRANEL,2026-03-01,89443.25,85765.8,93120.7,alta,True,revisar antes de ordenar,activo,True,"octubre, febrero, diciembre",7964.569085154893,0.0411148805469627,alta,,,,
PP,PP_9dbc1982e7,ENG OREGANO DISPLA Y  X10 (0.25,2026-03-01,87275.54,78072.8,96478.28,alta,True,revisar antes de ordenar,activo,False,"enero, diciembre, septiembre",10639.364083230965,0.1054446390805843,alta,,,,
PP,PP_6842dee4eb,ENG ASI COCINO R DISP X 15(0.10,2026-03-01,81604.02,76266.0,86942.04,alta,True,revisar antes de ordenar,activo,False,"junio, febrero, septiembre",4389.254629018116,0.0654136308348452,alta,,,,
PP,PP_7d84f0a6b3,ENG CANELA RAMA DSP. X 10 (0.40,2026-03-01,78696.95,75708.39,81685.51,alta,True,revisar antes de ordenar,activo,False,"septiembre, marzo, junio",2760.8213976759343,0.0379755350436854,alta,,,,
PP,PP_351a61690c,ENG CLAVO OLOR DISP X 30(0.15),2026-03-01,76596.1,74285.39,78906.81,alta,True,revisar antes de ordenar,activo,False,"octubre, noviembre, febrero",1960.8873154199755,0.0301674971603073,alta,,,,
PP,PP_92b8043cd0,ENG ASI COCINO RICO DISP X 10 (,2026-03-01,69424.84,64891.15,73958.53,alta,True,revisar antes de ordenar,activo,False,"enero, agosto, noviembre",4308.0739860239555,0.0653035316965886,alta,,,,
PP,PP_dfe4fe9658,ENG ANIS ESTRELLAD DP.X30(0.15),2026-03-01,69351.44,62696.25,76006.63,alta,True,revisar antes de ordenar,activo,False,"octubre, febrero, septiembre",5671.428243790421,0.0959632528560139,alta,,,,
PP,PP_24a08303ac,AJO PASTA GRANEL LIBRAS,2026-03-01,69331.87,66556.17,72107.57,alta,True,revisar antes de ordenar,activo,True,"febrero, octubre, diciembre",3683.543642912547,0.0400350365502189,alta,,,,
PP,PP_490ec69196,ACHIOTE ACEITE GRANEL,2026-03-01,67930.29,63273.12,72587.46,alta,True,revisar antes de ordenar,activo,False,"enero, diciembre, julio",7734.081010546004,0.0685581054488319,alta,,,,
