source_type,product_id,product_name,periodo,pedidos_confirmados,preventa_confirmada,promocion_producto,cliente_grande_confirmado,cambio_pvp_pct,precio_planificado,riesgo_quiebre_stock,disponibilidad_materia_prima,ajuste_comercial_manual,observacion
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2023-01-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2023-02-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2023-03-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2023-04-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2023-05-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2023-06-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2023-07-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2023-08-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2023-09-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2023-10-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2023-11-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2023-12-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2024-01-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2024-02-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2024-03-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2024-04-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2024-05-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2024-06-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2024-07-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2024-08-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2024-09-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2024-10-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2024-11-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2024-12-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2025-01-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2025-02-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2025-03-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2025-04-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2025-05-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2025-06-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2025-07-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2025-08-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2025-09-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2025-10-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2025-11-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2025-12-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2026-01-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2026-02-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2026-03-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2026-04-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2026-05-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2026-06-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2026-07-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2026-08-01,,,,,,,,,,
PT,PT_0000,SAZONADOR AZAFRAN KILO (0000),2026-09-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2023-01-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2023-02-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2023-03-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2023-04-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2023-05-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2023-06-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2023-07-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2023-08-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2023-09-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2023-10-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2023-11-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2023-12-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2024-01-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2024-02-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2024-03-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2024-04-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2024-05-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2024-06-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2024-07-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2024-08-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2024-09-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2024-10-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2024-11-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2024-12-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2025-01-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2025-02-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2025-03-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2025-04-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2025-05-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2025-06-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2025-07-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2025-08-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2025-09-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2025-10-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2025-11-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2025-12-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2026-01-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2026-02-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2026-03-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2026-04-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2026-05-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2026-06-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2026-07-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2026-08-01,,,,,,,,,,
PT,PT_0015,MANI PAST FDA 200 GRS(0015),2026-09-01,,,,,,,,,,
PT,PT_0018,INDIAS S. AJO PASTA BOT 470 GRS (0018),2023-01-01,,,,,,,,,,
PT,PT_0018,INDIAS S. AJO PASTA BOT 470 GRS (0018),2023-02-01,,,,,,,,,,
PT,PT_0018,INDIAS S. AJO PASTA BOT 470 GRS (0018),2023-03-01,,,,,,,,,,
PT,PT_0018,INDIAS S. AJO PASTA BOT 470 GRS (0018),2023-04-01,,,,,,,,,,
PT,PT_0018,INDIAS S. AJO PASTA BOT 470 GRS (0018),2023-05-01,,,,,,,,,,
PT,PT_0018,INDIAS S. AJO PASTA BOT 470 GRS (0018),2023-06-01,,,,,,,,,,
